EMX-060-S-2-4TR,"LAC SOLVENTAT PENTRU PIATRA “EMEX WS”","Produs de Inalta Calitate - Lac Acrilic Solventat pentru Piatra Naturala - Rezistent la Intemperii, Apa, Infiltratii, Factori de Mediu si Radiatii UV",lac-piatra-solvent,Lac-de-piatra-solventat.webp,"in stock","211.41 RON",503738,"Lac de Piatra",EMEX,5941930702112,"rasini acrilice/ aditivi specifici/ solventi organici","""Lac"""
EMX-037-NS-9-6OC,"GRUND ALCHIDIC PENTRU LEMN SI BINALE “EMEX”","Produs Superior - Grund Alchidic pentru Lemn si Binale “Emex” - Asigura Egalizare si Umplere Pori. Destinat Pregatirii Lemnului Inaintea Vopsirii ",grund-binale,Grund-lemn-lambriuri-binale.webp,"in stock","136.71 RON",2058,"Grund Lemn",EMEX,5941930702273,"rasina alchidica/ pigmenti/ fileri","""Vopsea grund"""
EMX-166-NS-4-4TR,"LAC ACRILIC PENTRU OTEL SI NEFEROASE “EMEX BLISS”","Produs Profesional de Inalta Performanta - Lacul Acrilic pentru Metal “Emex Bliss” pentru - Suprafete Metalice, cu Precadere pentru Neferoase",lac-protectie-metal-aluminiu,Lac-pentru-otel-aluminiu-cupru.webp,"in stock","238.72 RON",503738,Lac,EMEX,5941930704963,"rasina acrilica solventata","""Lac"""
EMX-093-S-2-5AR,"SOLUTIE ANTIRUGINA “EMEX RUST STOP”","Solutie de Fosfatare Antirugina - Sub denumirea generica de Feruginol sau Deruginol este utilizata pentru - Curatare Rugina de pe suporturi din metal.",solutie-anti-rugina,Solutie-curatare-rugina.webp,"in stock","207.74 RON",115,"Solutie de fosfatare antirugina",EMEX,5941930702310,"saruri sulfurate/ agenti tensioactivi/ solventi organici","""Diluant"""
EMX-143-NS-2-5CM,"DECAPANT VOPSEA VECHE “EMEX CM CLEANER”","Produs Profesional - Decapant pentru Vopsea sub Forma de Pasta - Produs de Mare Eficacitate pentru Curatare Vopsea Veche de pe Metal !",decapant-vopsea-lemn-metal,Pasta-decapanta-vopsele-vechi.webp,"in stock","139.23 RON",115,"Pasta decapanta",EMEX,5941930702334,"solventi organici/ alcooli","""Diluant"""
EMX-016-S-2-5PC,"SOLUTIE PASTA DECAPANTA “EMEX PC ECO”","Pasta sau Solutie Decapanta non toxica - produs profesional, ecologic, pentru curatare vopsea adeziv si graffiti. - Decapant eficient de vopsea !",decapant-ecologic-vopsele,Decapant-ecologic-vopsele-vechi.webp,"in stock","359.65 RON",115,"Pasta decapanta",EMEX,5941930702358,"solventi organici/ alcooli","""Decapant"""
EMX-017-S-2-1AH,"DILUANT PENTRU VOPSELE ALCHIDICE “EMEX”","Diluant pentru reglarea vascozitatii vopselelor alchidice grase de lemn metal si zidarie - solvent pentru diluare vopsea sau spalare scule de vopsit",diluant-alchidic,Diluant-uz-general.webp,"in stock","31.29 RON",503741,Diluant,EMEX,5941930702372,"solventi organici","""Diluant"""
EMX-104-NS-3-25AB,"TENCUIALA DECORATIVA STRUCTURATA “EMEX”","Cu Latex si Granule de Marmura - Tencuiala Decorativa Structurata de Exterior sau Interior Alba sau Colorata - Durabilitate 10 ani. Preturi Decente !",tencuiala-decorativa-acrilica,Tencuiala-decorativa-structurata-standard.webp,"in stock","221.04 RON",505802,Tencuiala,EMEX,5941930702396,"copolimeri acrilo-stirenici/ aditivi/ fileri","""Tencuiala decorativa"""
EMX-105-NS-3-25AB,"TENCUIALA DECORATIVA SILICONATA EXTERIOR “EMEX”","Cu Rasini Siliconice si Granule de Marmura - Tencuiala Decorativa Exterior Siliconata Impermeabila Aspect Striat - Protectie Eficienta Contra Apei !",tencuiala-decorativa-impermeabila,Tencuiala-decorativa-pentru-impermeabilizare.webp,"in stock","259.72 RON",505802,Tencuiala,EMEX,5941930702433,"rasini siliconice/ impermeabilizanti/ polimeri acrilici","""Tencuiala decorativa"""
EMX-109-NS-3-25AB,"TENCUIALA DECORATIVA SILICONICA “EMEX”","Produs Profesional - Tencuiala Decorativa Siliconica Exterior Structurata cu Cuart si Granule de Marmura in Culori Diverse - Calitate Incontestabila !",tencuiala-decorativa-siliconica,Tencuiala-decorativa-siliconica.webp,"in stock","283.22 RON",505802,Tencuiala,EMEX,5941930702471,"rasini acrilice/ rasini siliconice/ fileri","""Tencuiala decorativa"""
EMX-110-NS-3-25MZ,"TENCUIALA MOZAICATA DE SOCLU “EMEX”","Rezistenta la Apa si Infiltratii cu Granule Colorate de Cuartz - Tencuiala Decorativa de Soclu Marmorata sau Mozaicata - Calitate Incontestabila !",tencuiala-soclu,Marmorom-pentru-soclu.webp,"in stock","283.22 RON",505802,Tencuiala,EMEX,5941930702518,"rasini acrilice/ aditivi specifici","""Tencuiala decorativa"""
EMX-106-NS-3-25AB,"TENCUIALA DECORATIVA PERIATA “EMEX”","Produs Profesional - Tencuiala Decorativa Periata cu Cuart si Granule de Marmura - Structurare Circulara in Orice Culoare. Calitate Incontestabila !",tencuiala-decorativa-periata,Tencuiala-decorativa-structura-periata.webp,"in stock","221.04 RON",505802,Tencuiala,EMEX,5941930702525,"copolimeri acrilo-stirenici/ aditivi/ fileri","""Tencuiala decorativa"""
EMX-108-NS-3-25AB,"TENCUIALA DECORATIVA SILICATICA “EMEX”","Cu Silicat de Potasiu si Granule de Marmura - Tencuiala Decorativa Silicatica Structurata - Restaurari Tencuieli si Fatade Exterioare in Orice Culoare",tencuiala-decorativa-silicatica,Tencuiala-silicat-de-potasiu.webp,"in stock","365.03 RON",505802,Tencuiala,EMEX,5941930702563,"silicat de potasiu/ pigmenti/ aditivi","""Tencuiala decorativa"""
EMX-107-NS-3-25AB,"TENCUIALA DECORATIVA BOB DE OREZ “EMEX”","Cu Granule de Marmura si Cuartz - Tencuiala Decorativa Granulata tip Bob de Orez sau Praf de Piatra in Culori Diverse - Calitate la Pret de Producator",tencuiala-decorativa-praf-piatra,Tencuiala-decorativa-bob-de-orez.webp,"in stock","245.44 RON",505802,Tencuiala,EMEX,5941930702600,"copolimeri acrilo-stirenici/ aditivi/ fileri","""Tencuiala decorativa"""
EMX-132-NS-3-15AB,"VOPSEA DECORATIVA TEXTURATA “EMEX”","Vopsea - Texturata Decorativa pe baza de Latex aplicabila cu fier de glet structurata cu trafaletul - Aspect Calcio Vecchio - modele de orice culoare.",vopsea-texturata-emex,Vopsea-calcio-vecchio.webp,"in stock","360.43 RON",505802,"Vopsea decorativa",EMEX,5941930702648,"rasini acrilice/ aditivi/ cuart micronizat","""Vopsea de fatada"""
EMX-031-NS-3-16GQ,"GRUND DE AMORSARE TENCUIELI “EMEX”","Grund de Amorsare cu Cuart pentru Ancorare Tencuieli Decorative de Fatada sau Tencuiala Decorativa Structurata Acrilica si Vopsea Texturata",grund-amorsa-quartz,Amorsa-tencuiala-decorativa-cuart.webp,"in stock","134.61 RON",2058,Amorsa,EMEX,5941930702716,"rasini acrilice/ aditivi/ cuart micronizat","""Vopsea grund"""
EMX-033-NS-3-16GQ,"GRUND SILICONIC - AMORSA TENCUIELI “EMEX”","Profesional - Grund de Amorsare Siliconic cu Cuartz pentru Tencuieli Decorative Siliconice Elastice - Creaza Puncte de Ancora cu Aderenta Superioara",grund-amorsa-tencuiala-siliconica,Amorsa-siliconica-tencuiala-decorativa.webp,"in stock","144.70 RON",2058,Grund,EMEX,5941930702723,"rasini acrilice/ rasini siliconice","""Vopsea grund"""
EMX-032-NS-3-16GQ,"GRUND SILICATIC - AMORSA TENCUIELI “EMEX”","Grund de Amorsare Silicatic cu cuart pentru tencuieli decorative cu puncte de ancora pentru aderenta permite respiratia peretilor impermeabil la apa",grund-amorsa-tencuiala-silicatica,Amorsa-cuart-tencuiala-silicatica.webp,"in stock","169.27 RON",2058,Grund,EMEX,5941930702730,"silicat de potasiu/ fileri/ cuart micronizat","""Vopsea grund"""
EMX-114-S-4-5AB,"VOPSEA CLORCAUCIUC PENTRU METAL SI BETON “EMEX”","Rezistenta la Apa Intemperii si Agenti Corozivi - Vopsea Clorcauciuc pentru Metal sau Beton - Vopsea Cauciucata la Pret si Calitate fara Compromis !",vopsea-clorcauciuc,Clorcauciuc-metal-lemn-beton.webp,"in stock","193.78 RON",503738,Email,EMEX,5941930704109,"cauciuc clorurat/ pigmenti/ plastifianti","""Vopsea de podea, de beton"""
EMX-116-S-4-4AB,"VOPSEA RASINA EPOXIDICA - EMAIL EPOXIDIC “EMEX”","Produs Profesional - Vopsea Epoxidica pentru Metal, Beton si Lemn pe baza de Rasina Epoxidica Bicomponenta - Email Epoxidic de Noua Generatie !",vopsea-epoxidica,Email-epoxidic-metal-beton.webp,"in stock","235.62 RON",503738,Email,EMEX,5941930702860,"rasina epoxidica/ intaritor","""Vopsea email"""
