id,file_original_name,file_name,data,path,is_image,created_at,updated_at,slug,
48,Amorsa-epoxidica-baza-apa.webp,Amorsa-epoxidica-baza-apa.webp,"{""title"":""Amorsa rasina epoxidica pe baza apa"",""alt"":""Amorsa epoxidica baza apa bicomponenta""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,amorsa-epoxidica-baza-apa,✔
49,Amorsa-epoxidica-bicomponenta-solventata.webp,Amorsa-epoxidica-bicomponenta-solventata.webp,"{""title"":""Amorsa epoxidica lemn fibra de sticla"",""alt"":""Grund de amorsare epoxidic transparent""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,amorsa-epoxidica-lemn-fibra-sticla,✔
50,Clorcauciuc-metal-beton-marcaj.webp,Clorcauciuc-metal-beton-marcaj.webp,"{""title"":""Vopsea moderna din emulsii cauciucate"",""alt"":""Vopsea cauciucata pentru metal si beton""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-clorcauciuc,✔
51,Diluant-emailuri-epoxidice.webp,Diluant-emailuri-epoxidice.webp,"{""title"":""Diluant rasina epoxidica in solvent"",""alt"":""Solvent pentru lacuri vopsele epoxidice""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,diluant-epoxidic,✔
52,Diluant-emailuri-vopsele-poliuretanice.webp,Diluant-emailuri-vopsele-poliuretanice.webp,"{""title"":""Diluant lacuri si vopsele poliuretanice"",""alt"":""Diluant poliuretanic pentru vopsele lacuri grunduri""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,diluant-poliuretanic,✔
53,Diluant-vopsele-acrilice-si-clorcauciuc.webp,Diluant-vopsele-acrilice-si-clorcauciuc.webp,"{""title"":""Diluant clorcauciuc solventare reglare vascozitate"",""alt"":""Diluant vopsele cauciucate metal beton piscina""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,diluant-clorcauciuc,✔
54,Email-acrilo-stirenic-cu-microfulgi-panouri-sandwich.webp,Email-acrilo-stirenic-cu-microfulgi-panouri-sandwich.webp,"{""title"":""Email pentru vopsire panouri sandwich"",""alt"":""Vopsea profesionala pentru panouri termoizolante""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-panouri-sandwich,✔
55,Email-epoxidic-bicomponent.webp,Email-epoxidic-bicomponent.webp,"{""title"":""Email epoxidic pentru vopsiri profesionale"",""alt"":""Vopsea epoxidica bicomponenta pentru metal""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-epoxidica,✔
56,Email-epoxidic-emulsionat-bicomponent.webp,Email-epoxidic-emulsionat-bicomponent.webp,"{""title"":""Email epoxidic bicomponent solubil in apa"",""alt"":""Email epoxidic pe baza de apa""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-epoxidic-emulsionat-apa,✔
57,Email-epoxidic-mediu-chimic-agresiv.webp,Email-epoxidic-mediu-chimic-agresiv.webp,"{""title"":""Email epoxy rezistent la mediu coroziv"",""alt"":""Vopsea epoxidica rezistenta la acizi baze""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-epoxidic-medii-agresive,✔
58,Email-lovitura-de-ciocan.webp,Email-lovitura-de-ciocan.webp,"{""title"":""Vopsea hammerschlag sau lovitura de ciocan"",""alt"":""Vopsea de metal lovitura de ciocan""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lovitura-de-ciocan,✔
59,Email-metalizat-auriu.webp,Email-metalizat-auriu.webp,"{""title"":""Vopsea metalizata bronz auriu cu patina"",""alt"":""Email bronz aluminiu metalizat fier forjat""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-metalizata-acrilica,✔
