Tip liant ,Denumire,slug
,Vopsea Epoxidica Pardoseala “Emex”,vopsea-epoxidica-pardoseli
,Vopsea Intermediara Epoxy-Poliamidica “Emex Spark”,vopsea-intermediara-epoxy-poliamidica-cu-micaceu
,Vopsea Epoxidica Emulsionata Pardoseli “Emex Deck”,vopsea-epoxidica-baza-apa-pardoseala
,Amorsa Epoxidica Solventata “Emex”,amorsa-epoxidica-lemn-fibra-sticla
,Pardoseala Epoxidica Autonivelanta “Emex”,pardoseala-epoxidica
,Pardoseala Epoxidica Antiderapanta “Emex”,pardoseala-epoxidica-antiderapanta
,Pardoseala Epoxidica Decorativa “Emex Quartz”,pardoseala-epoxidica-decorativa-cuartz
,Sapa Epoxy-Cimentica “Emex Mineral”,sapa-epoxidica-egalizare
,Pardoseala Epoxidica Multicolor “Emex”,pardoseala-epoxidica-multicolor
,"Masa Epoxidica de Spaclu "" Emex MSE 31""",masa-epoxidica-de-spaclu
,Mortar Epoxidic “Emex Fill”,mortar-epoxidic
,Grund Epoxidic Impregnare Solvent-Free “Emex”,amorsa-impregnare-pardoseli-epoxidice
,Grund Epoxidic Anticoroziv “Emex”,grund-epoxidic
,Grund cu Zinc Epoxy-Poliamidic “Emex PZ-302”,grund-epoxi-poliamidic-cu-zinc
,Grund Epoxidic Emulsionat “Emex WD-AE”,grund-epoxidic-solubil-apa
,Lac Epoxidic Solvent-Free “Emex Epoxy Contact”,lac-epoxidic-sigilare
,Lac Epoxidic Solventat “Emex Epoxy Coat”,lac-epoxidic-solventat
,Pachet Email Epoxidic Placi Ceramice “Emex QSF-3E”,email-epoxidic-pentru-gresie-si-faianta
,Pachet Amorsa Epoxidica Emulsionata “Emex”,amorsa-epoxidica-baza-apa
,Pachet Grund Epoxidic Amorsare Solventat “Emex”,amorsa-epoxidica-impregnare
,Rasina Epoxidica de Turnare “Emex TopCast”,rasina-epoxidica-turnare-strat-gros
,,
Poliuretanic,Email Poliuretanic “Emex”,vopsea-poliuretanica
,Vopsea Poliuretanica “Emex Flexipol”,vopsea-poliuretanica-elastica
,Email Alchido-Poliuretanic “Emex Screenpol”,vopsea-tigla-metalica-screenpol
,Vopsea Poliuretanica de Yachturi “Emex”,poliuretanica-yachturi-ambarcatiuni
,Vopsea Poliuretanica Piscina “Emex Pool”,vopsea-poliuretanica-piscina
,Vopsea Poliuretanica de Mobila “Emex”,vopsea-poliuretanica-mobila
,Vopsea Poliuretanica Pardoseala “Emex”,vopsea-poliuretanica-pardoseli
,Pardoseala Poliuretanica Autonivelanta “Emex”,pardoseala-poliuretanica
,Pardoseala Poliuretanica Elastica “Emex”,pardoseala-poliuretanica-elastica
,Pardoseala Poliuretanica Antiderapanta “Emex”,pardoseala-poliuretanica-antiderapanta
,"Covor Poliuretanic de Piatra ""Emex Pebble""",pardoseala-poliuretanica-exterior-covor-de-piatra
,Grund Poliuretanic Anticoroziv “Emex”,grund-poliuretanic
,Grund Poliuretanic Impregnare Solvent-Free “Emex”,amorsa-poliuretanica-nesolventata-pardoseli
,Grund Poliuretanic Amorsare Solventat “Emex”,amorsa-poliuretanica-impregnare
,Lac Poliuretanic “Emex UV Shield”,lac-poliuretanic-protectie-radiatii
,Lac Poliuretanic pentru Mobila “Emex”,lac-poliuretanic-mobila
,"Membrana Poliuretanica Hidroizolanta ""Emex""",membrana-poliuretanica-hidroizolanta
,Lac Poliuretanic pe Baza de Apa pentru Protectie si Corectie “Emex Polimat”,lac-poliuretanic-protectie-pardoseli-polimat
,Lac Poliuretanic Beton Amprentat “Emex PU Stamp”,lac-poliuretanic-beton-amprentat
,,
Poliesteric,Email Poliesteric “Emex Estada”,vopsea-poliesterica-metal
,Grund Poliesteric Anticoroziv “Emex”,grund-poliesteric
,,
Nitro,Emailul Nitro-Combinat “Emex QN-212”,email-nitro-combinat
,Grundul Anticoroziv Nitro-Combinat “Emex FZ-214”,grund-nitro-combinat-anticoroziv
,,
Poliaspartic,Lac Poliaspartic de Inalta Duritate “Emex L32-AS”,lac-poliaspartic-inalta-duritate
,Vopsea Poliaspartica pentru Pardoseala “Emex P31-AS”,vopsea-poliaspartica-pardoseli-rapide
,,
Solventi,Diluant Alchidic “Emex”,diluant-alchidic
,Diluant Vopsele Auto si Utilaje “Emex”,diluant-vopsele-utilaje
,Diluant Clorcauciuc “Emex”,diluant-clorcauciuc
,Diluant Epoxidic “Emex”,diluant-epoxidic
